===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-11-05 19:33:40
count workspace : c:\Eigener Bereich\Studium\Semester 4\Gameenwicklung\Particle Rush v2
total files : 184
total code lines : 20190
total comment lines : 7066
total blank lines : 3528

.gitattributes, code is 49, comment is 0, blank is 1.
Assembly-CSharp-Editor.csproj, code is 708, comment is 0, blank is 0.
Assembly-CSharp.csproj, code is 788, comment is 0, blank is 0.
Assets\Fonts\MONTSERRAT-EXTRALIGHT.TTF, it is a binary file.
Assets\Materials\Shader\Sprite Overlay.shader, code is 41, comment is 1, blank is 4.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Behavior.cs, code is 153, comment is 62, blank is 34.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Configuration.cs, code is 25, comment is 14, blank is 6.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Enums.cs, code is 9, comment is 33, blank is 5.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\Contour.cs, code is 134, comment is 63, blank is 51.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\Edge.cs, code is 31, comment is 23, blank is 5.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\ExtensionMethods.cs, code is 73, comment is 44, blank is 26.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\IEdge.cs, code is 10, comment is 17, blank is 3.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\IPolygon.cs, code is 25, comment is 54, blank is 15.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\ISegment.cs, code is 9, comment is 16, blank is 2.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\ITriangle.cs, code is 16, comment is 45, blank is 9.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\Point.cs, code is 118, comment is 33, blank is 30.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\Polygon.cs, code is 105, comment is 52, blank is 27.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\Rectangle.cs, code is 103, comment is 78, blank is 20.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\RegionPointer.cs, code is 34, comment is 25, blank is 5.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\Segment.cs, code is 50, comment is 31, blank is 12.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Geometry\Vertex.cs, code is 69, comment is 42, blank is 15.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\IO\DebugWriter.cs, code is 167, comment is 48, blank is 49.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\IO\FileProcessor.cs, code is 82, comment is 26, blank is 19.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\IO\IFileFormat.cs, code is 8, comment is 5, blank is 1.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\IO\IMeshFormat.cs, code is 12, comment is 23, blank is 4.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\IO\InputTriangle.cs, code is 53, comment is 21, blank is 13.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\IO\IPolygonFormat.cs, code is 12, comment is 23, blank is 4.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\IO\TriangleFormat.cs, code is 67, comment is 8, blank is 18.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\IO\TriangleReader.cs, code is 494, comment is 120, blank is 130.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\IO\TriangleWriter.cs, code is 285, comment is 106, blank is 69.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\IPredicates.cs, code is 13, comment is 5, blank is 5.
Assets\Packages\TriangleNET\Triangle-NET-Unity-Port-master\Log.cs, code is 52, comment is 16, blank is 17.
